,DivSampCA,SamplingCA,DivSampCA,SamplingCA,DivSampCA,SamplingCA,DivSampCA,SamplingCA,DivSampCA,SamplingCA,DivSampCA,SamplingCA,DivSampCA,SamplingCA,DivSampCA,SamplingCA
sparc_erc32,13,92,15,143,15,182,16,196,18,234,19,234,21,267,19,267
sparc_leon,11,93,15,126,14,163,18,189,20,216,20,254,21,265,22,265
sparclite_sim,13,112,15,143,19,181,19,215,21,227,20,248,22,280,22,280
stb,12,100,16,163,17,197,17,212,20,230,21,269,18,269,21,269
stdeval1,13,92,16,143,17,171,16,195,18,222,23,275,22,275,23,275
stm3210e_eval,12,116,16,130,18,190,21,213,19,221,20,246,21,266,22,266
toybox,1,2,1,2,1,9,2,18,2,18,2,18,2,18,3,18
ts1000,14,108,17,157,18,177,17,218,20,252,22,293,23,303,21,303
ts6,15,115,16,162,19,223,20,242,22,286,23,303,24,310,24,310
tx39_sim,13,86,15,136,15,182,19,212,20,268,21,268,19,287,21,287
uClinux,1,2,1,8,1,8,1,8,1,8,2,22,2,22,2,22
uClinux-config,2,13,2,13,2,25,3,25,3,32,4,38,4,49,4,49
uE250,16,118,16,184,18,201,19,226,20,226,19,271,22,331,20,331
vads,12,103,16,148,19,189,19,213,19,226,18,254,21,267,21,267
viper,14,101,16,155,19,211,20,217,21,276,21,293,23,293,25,293
vrc4373,13,83,16,130,17,157,19,176,17,210,21,280,20,280,21,280
vrc4375,14,103,16,159,19,188,21,244,20,244,20,286,21,313,22,313
XSEngine,16,109,17,165,20,203,21,247,23,286,24,297,22,297,22,297
